County,Average Effective Property Tax Rate
Alameda County,0.0078
Alpine County,0.0082
Amador County,0.0074
Butte County,0.0074
Calaveras County,0.0081
Colusa County,0.0068
Contra Costa County,0.0085
Del Norte County,0.0073
El Dorado County,0.0076
Fresno County,0.0082
Glenn County,0.0075
Humboldt County,0.0067
Imperial County,0.0091
Inyo County,0.0076
Kern County,0.01
Kings County,0.0076
Lake County,0.0086
Lassen County,0.0077
Los Angeles County,0.0072
Madera County,0.0076
Marin County,0.0077
Mariposa County,0.0071
Mendocino County,0.0069
Merced County,0.0075
Modoc County,0.0088
Mono County,0.0078
Monterey County,0.0071
Napa County,0.0068
Nevada County,0.0078
Orange County,0.0069
Placer County,0.0092
Plumas County,0.0069
Riverside County,0.0095
Sacramento County,0.0081
San Benito County,0.0082
San Bernardino County,0.0081
San Diego County,0.0073
San Francisco County,0.0064
San Joaquin County,0.0085
San Luis Obispo County,0.0071
San Mateo County,0.0065
Santa Barbara County,0.0066
Santa Clara County,0.0073
Santa Cruz County,0.0066
Shasta County,0.0076
Sierra County,0.0088
Siskiyou County,0.0077
Solano County,0.0082
Sonoma County,0.007
Stanislaus County,0.0077
Sutter County,0.009
Tehama County,0.0067
Trinity County,0.0052
Tulare County,0.0078
Tuolumne County,0.0076
Ventura County,0.0073
Yolo County,0.0087
Yuba County,0.0086
