County,Average Effective Property Tax Rate
Anderson,0.0141
Andrews,0.0108
Angelina,0.0144
Aransas,0.0115
Archer,0.0144
Armstrong,0.0112
Atascosa,0.0148
Austin,0.0135
Bailey,0.0223
Bandera,0.0137
Bastrop,0.0173
Baylor,0.0145
Bee,0.0127
Bell,0.0183
Bexar,0.0197
Blanco,0.011
Borden,0.0034
Bosque,0.0114
Bowie,0.015
Brazoria,0.02
Brazos,0.0181
Brewster,0.0136
Briscoe,0.0119
Brooks,0.0112
Brown,0.0144
Burleson,0.0112
Burnet,0.0135
Caldwell,0.0171
Calhoun,0.013
Callahan,0.0114
Cameron,0.0176
Camp,0.0135
Carson,0.0144
Cass,0.0127
Castro,0.0125
Chambers,0.0142
Cherokee,0.0136
Childress,0.0147
Clay,0.0156
Cochran,0.0159
Coke,0.0137
Coleman,0.0127
Collin,0.0194
Collingsworth,0.0145
Colorado,0.0129
Comal,0.0134
Comanche,0.0147
Concho,0.0136
Cooke,0.0161
Coryell,0.0173
Cottle,0.0177
Crane,0.0108
Crockett,0.008
Crosby,0.018
Culberson,0.0159
Dallam,0.0148
Dallas,0.0193
Dawson,0.0183
Deaf Smith,0.0192
Delta,0.0182
Denton,0.019
DeWitt,0.0107
Dickens,0.0117
Dimmit,0.01
Donley,0.0173
Duval,0.0094
Eastland,0.0115
Ector,0.0129
Edwards,0.0089
El Paso,0.0224
Ellis,0.0167
Erath,0.0151
Falls,0.014
Fannin,0.0133
Fayette,0.0112
Fisher,0.0128
Floyd,0.0126
Foard,0.017
Fort Bend,0.0222
Franklin,0.013
Freestone,0.0129
Frio,0.0157
Gaines,0.0147
Galveston,0.0179
Garza,0.0105
Gillespie,0.0101
Glasscock,0.0055
Goliad,0.0099
Gonzales,0.0121
Gray,0.0142
Grayson,0.0153
Gregg,0.0145
Grimes,0.0115
Guadalupe,0.0167
Hale,0.0152
Hall,0.0142
Hamilton,0.0129
Hansford,0.0144
Hardeman,0.0183
Hardin,0.0118
Harris,0.0203
Harrison,0.0116
Hartley,0.0152
Haskell,0.0115
Hays,0.0197
Hemphill,0.0134
Henderson,0.0127
Hidalgo,0.0205
Hill,0.0151
Hockley,0.0171
Hood,0.0127
Hopkins,0.0148
Houston,0.0119
Howard,0.0122
Hudspeth,0.0092
Hunt,0.0163
Hutchinson,0.016
Irion,0.0099
Jack,0.0159
Jackson,0.013
Jasper,0.0107
Jeff Davis,0.0128
Jefferson,0.0174
Jim Hogg,0.0136
Jim Wells,0.0134
Johnson,0.0157
Jones,0.0155
Karnes,0.0093
Kaufman,0.0188
Kendall,0.0146
Kenedy,0.0073
Kent,0.013
Kerr,0.0126
Kimble,0.0103
King,0.0161
Kinney,0.0111
Kleberg,0.0185
Knox,0.0172
La Salle,0.011
Lamar,0.0143
Lamb,0.0125
Lampasas,0.0137
Lavaca,0.0092
Lee,0.0143
Leon,0.0081
Liberty,0.0154
Limestone,0.0142
Lipscomb,0.0126
Live Oak,0.0087
Llano,0.0098
Lubbock,0.0178
Lynn,0.0178
Madison,0.0131
Marion,0.0083
Martin,0.0104
Mason,0.0094
Matagorda,0.0132
Maverick,0.0143
McCulloch,0.0121
McLennan,0.0177
McMullen,0.0111
Medina,0.014
Menard,0.0207
Midland,0.0146
Milam,0.0135
Mills,0.0112
Mitchell,0.018
Montague,0.0127
Montgomery,0.018
Moore,0.0123
Morris,0.0115
Motley,0.0119
Nacogdoches,0.01
Navarro,0.0156
Newton,0.0094
Nolan,0.0168
Nueces,0.0187
Ochiltree,0.0143
Oldham,0.0161
Orange,0.0134
Palo Pinto,0.0148
Panola,0.0104
Parker,0.0161
Parmer,0.0144
Pecos,0.0088
Polk,0.0121
Potter,0.0179
Presidio,0.0163
Rains,0.0121
Randall,0.0169
Reagan,0.0142
Real,0.0108
Red River,0.0122
Reeves,0.0111
Refugio,0.0144
Roberts,0.0089
Robertson,0.0117
Rockwall,0.0195
Runnels,0.0173
Rusk,0.0109
Sabine,0.0088
San Augustine,0.0086
San Jacinto,0.0114
San Patricio,0.0178
San Saba,0.0131
Schleicher,0.0134
Scurry,0.0161
Shackelford,0.0151
Shelby,0.0095
Sherman,0.0145
Smith,0.0137
Somervell,0.0105
Starr,0.0102
Stephens,0.0157
Sterling,0.01
Stonewall,0.0142
Sutton,0.0154
Swisher,0.0161
Tarrant,0.021
Taylor,0.0152
Terrell,0.0089
Terry,0.0131
Throckmorton,0.0135
Titus,0.0135
Tom Green,0.0146
Travis,0.0182
Trinity,0.0115
Tyler,0.011
Upshur,0.012
Upton,0.0085
Uvalde,0.015
Val Verde,0.0146
Van Zandt,0.0125
Victoria,0.0176
Walker,0.0129
Waller,0.0154
Ward,0.0051
Washington,0.013
Webb,0.0219
Wharton,0.015
Wheeler,0.0148
Wichita,0.0194
Wilbarger,0.0174
Willacy,0.0143
Williamson,0.0201
Wilson,0.0148
Winkler,0.0109
Wise,0.0154
Wood,0.0117
Yoakum,0.0126
Young,0.0154
Zapata,0.0084
Zavala,0.0135
