Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Idaho,Dec-19,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,12/1/19,12/31/19,Idaho,27,Value,7018,-0.118120131,0.024077047,0.989738099,0.10%,0.20%,2132,-4.80%,22.70%,5137,-10.90%,1.60%,50,6,-8,174,-0.007775361,0.098022391,318700,0.021295214,0.083933856,168,-0.001631334,0.092463391,$302K,-1.70%,10.80%,2.4,-0.2,-0.5,1283,-26.00%,4.60%,1,0.349668046,-0.034631245,0.036712839,,1166,-20.60%,3.80%,30,0.121471676,-0.036468685,0.001859181,-1,4,0.207317073,-0.001611498,0.00363468
Alabama,Sep-19,All Residential,State,FALSE,AL,,9/12/21 15:00,,South Region,9/1/19,9/30/19,Alabama,1,Value,13114,-0.037292615,-0.005234014,0.975020437,-0.10%,0.20%,2958,-12.40%,7.30%,9811,-1.80%,-4.60%,57,5,-10,105,0.018586967,0.085611177,203800,0.016659349,0.082524274,100,-0.010315444,0.062978903,$200K,-1.20%,8.90%,3.3,0.3,-0.4,3254,-5.30%,23.30%,1,0.198208079,0.00440004,0.094057805,,2184,-13.30%,21.40%,30,0.177453878,-0.006148084,0.063457185,-1,4,0.199459094,-0.002731551,-0.054077359
Arkansas,Feb-18,All Residential,State,FALSE,AR,,9/12/21 15:00,,South Region,2/1/18,2/28/18,Arkansas,7,Value,7402,0.010787928,-0.09610453,0.961374535,0.20%,0.10%,1064,9.50%,6.90%,6121,3.90%,-10.60%,92,2,-9,91,0.004284528,-0.005532303,158400,0.025924723,-0.001779999,85,0.065094333,0.048861288,$148K,6.60%,3.40%,5.8,-0.3,-1.1,1642,7.80%,-8.00%,1,0.320313595,0.065145802,-0.014736927,,696,-2.70%,5.50%,30,0.119915047,-0.012275688,-0.002200057,-1,4,0.104323308,0.003500263,-0.002209355
Connecticut,Aug-21,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,8/1/21,8/31/21,Connecticut,13,Value,18352,-0.041570921,-0.189792945,1.016860187,-0.70%,2.50%,5796,-3.70%,-5.70%,12043,-4.50%,-24.40%,44,1,-13,184,0.000853407,0.079745243,320400,-0.022811337,0.009386898,188,-0.021002582,0.124271636,$352K,-4.50%,2.90%,2.1,0,-0.5,5805,-11.70%,-10.80%,1,0.290804228,0.035216162,0.111300462,,5382,-6.50%,5.70%,30,0.191397492,0.015491394,0.043830773,-1,4,0.568150449,-0.036566376,0.204706438
Iowa,Jun-18,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,6/1/18,6/30/18,Iowa,33,Value,5651,-0.030869491,-0.229163825,0.987839317,0.10%,0.10%,1675,4.00%,-8.70%,4017,2.00%,-26.40%,34,-8,-33,141,-0.016296792,0.035342834,202500,-0.033321546,0.046205808,143,0.027980133,0.061887947,$203K,2.70%,5.10%,2.4,0,-0.6,1800,-7.10%,-4.40%,1,0.4681351,-0.03917617,0.406364774,,1257,-11.30%,-5.10%,30,0.198904655,0.020940705,0.193223878,-1,4,0.268656716,0.004845419,-0.014331288
Maine,Oct-20,All Residential,State,FALSE,ME,,9/12/21 15:00,,Northeast Region,10/1/20,10/31/20,Maine,41,Value,6012,-0.05248227,-0.319986427,0.991337645,-0.30%,2.30%,2500,2.90%,25.60%,3719,-3.60%,-44.90%,23,0,-15,169,0.017699639,0.154570752,274500,0.017076135,0.15860789,168,0.012773923,0.165838678,$279K,2.10%,24.50%,1.5,-0.1,-1.9,2240,-9.50%,27.90%,1,0.561390062,-0.003795106,0.177504107,,1918,-8.10%,41.50%,30,0.251949449,0.005771683,-0.007205481,-1,4,0.3616,-0.01509823,0.144121346
North Carolina,Aug-21,All Residential,State,FALSE,NC,,9/12/21 15:00,,South Region,8/1/21,8/31/21,North Carolina,18,Value,27743,-0.070990858,-0.277356672,1.023053234,-0.30%,3.20%,12322,0.40%,6.70%,17586,-0.80%,-32.10%,32,0,-17,174,0.023023994,0.202108319,334300,0.029800211,0.16710147,171,0.016737502,0.201249779,$324K,0.10%,12.80%,1.4,0,-0.8,10143,-16.60%,-15.70%,1,0.292188103,-0.058646151,0.018860798,,6466,-12.30%,4.90%,30,0.186284545,0.014909143,0.047975588,-1,4,0.573040091,-0.009613968,0.233152694
New York,Mar-18,All Residential,State,FALSE,NY,,9/12/21 15:00,,Northeast Region,3/1/18,3/31/18,New York,16,Value,64669,0.068750103,-0.08988685,0.97137974,0.20%,0.30%,9656,15.60%,-2.40%,51558,3.80%,-10.80%,86,4,-14,368,-0.066348224,0.062104479,492900,-0.063490953,0.046721512,341,0.033505521,0.064834942,$411K,-0.30%,4.70%,5.3,-0.6,-0.5,16230,22.30%,-6.70%,1,0.27671556,0.015505502,0.051880106,,8038,38.30%,3.70%,30,0.135362116,0.018483969,0.005759735,-1,4,0.203707539,0.016229986,0.025875873
New York,Oct-19,All Residential,State,FALSE,NY,,9/12/21 15:00,,Northeast Region,10/1/19,10/31/19,New York,16,Value,75589,-0.02248862,-0.021235546,0.975998723,-0.40%,0.10%,13304,7.80%,-0.50%,59605,-3.60%,-3.20%,65,4,3,377,-0.03524933,-0.058596311,505400,-0.022099741,-0.017143368,346,-0.00985815,0.008347668,$395K,-2.30%,2.70%,4.5,-0.5,-0.1,15125,-13.50%,-4.10%,1,0.190827987,-0.02481122,-0.011487013,,9152,5.20%,1.70%,30,0.232044292,0.003710958,0.012091373,-1,4,0.225721587,-0.023488747,-0.00586995
Tennessee,Dec-20,All Residential,State,FALSE,TN,,9/12/21 15:00,,South Region,12/1/20,12/31/20,Tennessee,34,Value,20435,-0.093228612,-0.237158429,0.989628716,-0.20%,0.90%,8389,15.90%,23.10%,12893,-14.00%,-34.60%,41,1,-18,155,0.015877611,0.124328188,285100,-0.013653301,0.108927493,150,0.011912184,0.098349727,$292K,0.40%,9.20%,1.5,-0.6,-1.4,5499,-18.60%,17.50%,1,0.283503431,-0.025042007,0.112398314,,5863,-2.40%,27.70%,30,0.133405724,-0.034394276,0.020924124,-1,4,0.282512814,-0.014474471,0.104617614
