,selling_price-rent_p,selling_price-roi_p,selling_price-rate_p,rent-roi_p,rent-rate_p,roi-rate_p,selling_price-rent_s,selling_price-roi_s,selling_price-rate_s,rent-roi_s,rent-rate_s,roi-rate_s,selling_price-rent_change,selling_price-roi_change,selling_price-rate_change,rent-roi_change,rent-rate_change,roi-rate_change
Alameda County,0.1148,-0.5266,0.4719,0.7214,-0.7324,-0.9963,-0.6856,-0.7384,-0.2575,0.1347,0.7631,-0.4555,True,False,True,True,True,True
Contra Costa County,0.4481,-0.3612,0.3116,0.5648,-0.5808,-0.9977,0.8997,-0.6305,-0.2739,-0.604,-0.1505,-0.5677,True,False,True,True,True,True
Kern County,0.9956,0.7569,-0.7031,0.7888,-0.7348,-0.996,0.9937,-0.0511,-0.3847,0.0473,-0.4697,-0.9005,False,True,True,True,False,True
Los Angeles County,0.8526,0.3423,-0.3147,0.7076,-0.6637,-0.9962,0.9729,-0.365,-0.353,-0.2775,-0.4064,-0.7396,True,True,False,True,False,True
Marin County,0.2752,-0.4159,0.4147,0.3678,-0.2417,-0.9887,0.9874,-0.3194,-0.4159,-0.2507,-0.4712,-0.7287,True,False,True,True,False,True
Orange County,0.791,0.3123,-0.3052,0.7456,-0.7219,-0.9983,0.9893,-0.1799,-0.2713,-0.1104,-0.3261,-0.8957,True,True,False,True,True,True
Placer County,0.9664,0.6981,-0.6954,0.6675,-0.6433,-0.9964,0.9808,0.2672,-0.3013,0.416,-0.4302,-0.989,False,True,True,False,False,True
Riverside County,0.9772,0.6448,-0.5689,0.7675,-0.6959,-0.9934,0.9877,0.015,-0.3138,0.1507,-0.4284,-0.946,False,True,False,True,False,True
Sacramento County,0.9583,0.6583,-0.6489,0.7585,-0.727,-0.9951,0.993,-0.0595,-0.3317,0.0375,-0.4145,-0.9179,True,True,False,True,True,True
San Bernardino County,0.9763,0.6361,-0.584,0.7394,-0.6811,-0.9944,0.9829,-0.0321,-0.3352,0.095,-0.4188,-0.9086,False,True,False,True,False,True
San Diego County,0.8704,0.5856,-0.5459,0.7243,-0.6376,-0.9898,0.9829,-0.469,-0.3359,-0.3417,-0.4503,-0.6727,True,True,False,True,False,True
San Francisco County,0.7718,-0.0001,-0.1306,0.1991,-0.2687,-0.9902,0.6664,-0.6866,0.8394,-0.1296,0.5796,-0.8786,False,True,True,False,True,True
San Joaquin County,0.9287,0.4031,-0.4707,0.6886,-0.7316,-0.9956,0.9553,-0.1379,-0.3018,0.1363,-0.5202,-0.8854,False,True,False,True,False,True
San Mateo County,-0.2306,-0.6987,0.6599,0.7902,-0.7797,-0.9961,-0.6185,-0.5524,0.001,-0.0761,0.6183,-0.8148,True,False,True,True,True,True
Santa Clara County,-0.6195,-0.9229,0.8774,0.7657,-0.7332,-0.9918,0.6934,-0.2575,-0.246,0.3158,-0.649,-0.8725,True,True,True,True,False,True
Ventura County,0.8752,0.4244,-0.3807,0.7423,-0.6899,-0.9957,0.9865,-0.1223,-0.2746,0.0207,-0.4024,-0.9186,True,True,False,True,False,True
Yolo County,0.7167,0.2497,-0.1478,0.7994,-0.6871,-0.9819,0.9944,0.1887,-0.3215,0.2373,-0.3592,-0.9864,True,False,False,True,True,False
