,selling_price-rent_p,selling_price-roi_p,selling_price-rate_p,rent-roi_p,rent-rate_p,roi-rate_p,selling_price-rent_s,selling_price-roi_s,selling_price-rate_s,rent-roi_s,rent-rate_s,roi-rate_s,selling_price-rent_change,selling_price-roi_change,selling_price-rate_change,rent-roi_change,rent-rate_change,roi-rate_change
Bronx County,0.9214,0.0459,-0.7813,0.3092,-0.8413,-0.6424,-0.0469,0.2566,-0.5667,0.5046,0.2246,-0.6958,True,False,False,False,True,False
Dutchess County,0.9806,0.789,-0.7572,0.8171,-0.7697,-0.9939,0.9778,0.5557,-0.415,0.7074,-0.5709,-0.9748,False,False,True,False,False,True
Erie County,0.9656,0.4711,-0.7427,0.522,-0.7518,-0.9378,0.972,-0.5968,-0.3432,-0.4175,-0.5096,-0.5432,False,True,True,True,False,True
Kings County,0.8133,0.3638,-0.4371,0.7562,-0.7766,-0.9941,-0.9848,-0.4834,-0.5657,0.4131,0.6335,-0.4417,True,True,False,True,True,True
Monroe County,0.9882,0.5541,-0.7712,0.5942,-0.7875,-0.954,0.9993,-0.6593,-0.4182,-0.6642,-0.4099,-0.4062,True,True,True,True,True,True
Nassau County,0.9744,0.3155,-0.4413,0.3427,-0.4515,-0.9892,0.1345,-0.395,-0.3823,0.7121,-0.4939,-0.5963,True,True,False,True,False,True
New York County,-0.5799,-0.9048,0.8747,0.7656,-0.7287,-0.9948,0.9673,-0.1371,0.6788,-0.0932,0.6843,-0.7865,True,True,True,True,True,True
Orange County,0.5702,0.2734,-0.65,0.8498,-0.6032,-0.7413,0.3131,-0.2686,-0.2994,0.7911,-0.4833,-0.5378,False,True,True,False,False,False
Queens County,0.8066,0.2709,-0.4235,0.634,-0.6842,-0.98,-0.93,-0.4493,-0.4515,0.2563,0.6333,-0.5792,True,True,False,True,True,True
Richmond County,0.501,-0.0787,0.0157,0.6999,-0.6812,-0.9922,0.9351,0.1442,-0.3308,-0.1252,-0.0525,-0.9808,True,False,False,True,True,True
Rockland County,0.5836,-0.0134,-0.1147,0.6291,-0.6631,-0.9893,0.9991,0.7185,-0.3529,0.7312,-0.3674,-0.9019,True,True,False,False,False,True
Westchester County,-0.3943,-0.2096,0.0562,0.8918,-0.8057,-0.9834,-0.0116,-0.5143,-0.3147,-0.1913,0.4852,-0.6158,False,False,False,True,True,True
