,selling_price-rent_p,selling_price-roi_p,selling_price-rate_p,rent-roi_p,rent-rate_p,roi-rate_p,selling_price-rent_s,selling_price-roi_s,selling_price-rate_s,rent-roi_s,rent-rate_s,roi-rate_s,selling_price-rent_change,selling_price-roi_change,selling_price-rate_change,rent-roi_change,rent-rate_change,roi-rate_change
Bexar County,0.9838,0.6634,-0.726,0.6137,-0.6637,-0.9919,0.969,-0.4187,-0.2707,-0.2482,-0.4043,-0.7523,False,True,True,True,False,True
Brazoria County,0.8104,0.3732,-0.611,0.806,-0.9126,-0.9609,0.9875,-0.0505,-0.1568,0.05,-0.2425,-0.9745,True,False,True,True,True,False
Collin County,0.132,-0.2106,0.2203,0.8348,-0.7802,-0.9946,0.9844,-0.4126,-0.2297,-0.3231,-0.3017,-0.7884,True,False,True,True,True,True
Comal County,0.9504,0.6708,-0.7343,0.7477,-0.7844,-0.9946,0.9888,-0.3026,-0.2192,-0.3066,-0.1979,-0.8608,True,True,True,True,True,True
Dallas County,0.9716,-0.0353,-0.565,0.0856,-0.6322,-0.8012,0.9911,-0.1753,-0.363,-0.0816,-0.4373,-0.8486,True,False,False,False,False,False
Denton County,0.9077,0.4439,-0.4151,0.7319,-0.6963,-0.9973,0.9811,0.0028,-0.2855,0.1721,-0.4307,-0.9525,True,True,False,True,False,True
El Paso County,0.9306,0.589,-0.8049,0.7279,-0.8396,-0.9417,0.9853,-0.5154,-0.3683,-0.3931,-0.4693,-0.5955,True,True,True,True,True,True
Ellis County,0.9814,0.5524,-0.6169,0.651,-0.6966,-0.9935,0.9818,0.0591,-0.3011,0.2296,-0.4499,-0.9639,False,True,False,True,False,True
Fort Bend County,0.979,0.6453,-0.629,0.761,-0.7443,-0.9994,0.9629,-0.4088,-0.2078,-0.1775,-0.4217,-0.8053,False,True,True,True,True,True
Galveston County,-0.3506,0.05,-0.7011,0.2219,0.5729,-0.5459,0.4369,-0.2451,-0.3077,0.6933,-0.6703,-0.7403,True,False,True,True,True,False
Guadalupe County,0.9817,0.7336,-0.641,0.6546,-0.542,-0.9888,0.9838,-0.3857,-0.3127,-0.2341,-0.4522,-0.7542,False,True,False,True,False,True
Harris County,0.9661,0.371,-0.6395,0.5338,-0.7526,-0.9493,0.7445,-0.7646,-0.3436,-0.536,-0.1791,-0.3302,True,True,False,True,True,True
Hays County,0.9786,0.7059,-0.754,0.6998,-0.7372,-0.9965,0.9666,-0.6635,-0.2202,-0.4841,-0.4085,-0.5822,False,True,True,True,True,True
Johnson County,0.9726,0.3277,-0.6476,0.504,-0.7688,-0.9284,0.988,0.2693,-0.3427,0.3912,-0.4495,-0.9895,False,False,False,False,True,True
Kaufman County,0.9925,0.6249,-0.6938,0.6262,-0.687,-0.994,0.9365,-0.1907,-0.1882,0.1434,-0.4646,-0.9052,True,True,True,True,False,True
Montgomery County,0.8882,0.6757,-0.7117,0.5941,-0.5657,-0.9895,0.9945,-0.1985,-0.2155,-0.1811,-0.2216,-0.9105,True,True,True,True,False,True
Rockwall County,0.6339,0.437,-0.544,0.9013,-0.8737,-0.9826,0.973,-0.1234,-0.2111,0.0781,-0.3831,-0.9346,True,True,False,True,True,True
Tarrant County,0.9937,0.5353,-0.6455,0.5527,-0.6541,-0.9889,0.9838,-0.222,-0.2881,-0.0873,-0.3928,-0.8581,True,True,True,True,False,True
Travis County,0.9848,0.6079,-0.7032,0.6627,-0.7443,-0.9913,0.9821,-0.84,-0.2732,-0.7854,-0.3384,-0.2916,False,True,True,True,True,True
Williamson County,0.9482,0.6663,-0.7182,0.7479,-0.7624,-0.9927,0.9891,-0.8522,-0.2224,-0.8006,-0.2982,-0.3196,True,True,True,True,True,True
