,"Alameda County,CA","Contra Costa County,CA","Kern County,CA","Los Angeles County,CA","Marin County,CA","Orange County,CA","Placer County,CA","Riverside County,CA","Sacramento County,CA","San Bernardino County,CA","San Diego County,CA","San Francisco County,CA","San Joaquin County,CA","San Mateo County,CA","Santa Clara County,CA","Ventura County,CA","Yolo County,CA","Bronx County,NY","Dutchess County,NY","Erie County,NY","Kings County,NY","Monroe County,NY","Nassau County,NY","New York County,NY","Orange County,NY","Queens County,NY","Richmond County,NY","Rockland County,NY","Westchester County,NY","Bexar County,TX","Brazoria County,TX","Collin County,TX","Comal County,TX","Dallas County,TX","Denton County,TX","El Paso County,TX","Ellis County,TX","Fort Bend County,TX","Galveston County,TX","Guadalupe County,TX","Harris County,TX","Hays County,TX","Johnson County,TX","Kaufman County,TX","Montgomery County,TX","Rockwall County,TX","Tarrant County,TX","Travis County,TX","Williamson County,TX"
2018-01-01,840482.0,688690.0,210941.0,602936.0,1167768.0,718048.0,482007.0,369446.0,352373.0,331095.0,571433.0,1325887.0,343925.0,1360904.0,1208833.0,591656.0,435757.0,267669.0,284205.0,164437.0,634737.0,145860.0,536606.0,1040944.0,248694.0,502119.0,524735.0,454786.0,628729.0,178901.0,227257.0,340720.0,306835.0,192767.0,300836.0,127692.0,217368.0,262722.0,215523.0,226154.0,186483.0,267288.0,198778.0,213457.0,244735.0,283285.0,203834.0,348533.0,289840.0
2018-02-01,853351.0,695212.0,211579.0,607524.0,1172004.0,721360.0,481036.0,371182.0,354950.0,333813.0,577995.0,1335443.0,347636.0,1383333.0,1235692.0,596530.0,439611.0,267904.0,284422.0,165377.0,637338.0,146033.0,538763.0,1038876.0,250863.0,504098.0,529485.0,457419.0,631088.0,178743.0,227920.0,340229.0,309387.0,195222.0,301762.0,127619.0,219294.0,263510.0,215852.0,226939.0,187064.0,267193.0,200986.0,214174.0,244780.0,283966.0,204914.0,349961.0,290781.0
2018-03-01,862162.0,701102.0,212226.0,612344.0,1171070.0,724754.0,483626.0,374692.0,358023.0,335769.0,583902.0,1349252.0,351875.0,1394163.0,1262134.0,600472.0,443110.0,267333.0,284834.0,165901.0,641380.0,146366.0,541548.0,1047317.0,252681.0,506864.0,535380.0,458914.0,634633.0,178616.0,228484.0,340897.0,311437.0,197783.0,302760.0,127633.0,220928.0,263795.0,216752.0,228057.0,187625.0,267378.0,203315.0,215041.0,243922.0,284974.0,206160.0,350762.0,290471.0
2018-04-01,868163.0,705355.0,212832.0,617458.0,1169641.0,726842.0,489048.0,377206.0,359707.0,337710.0,587469.0,1371739.0,352882.0,1413125.0,1287403.0,603927.0,443919.0,268948.0,286890.0,166320.0,643817.0,147076.0,545077.0,1055241.0,253939.0,510314.0,542179.0,461443.0,636212.0,179570.0,229530.0,342768.0,312288.0,200032.0,303634.0,127522.0,222737.0,263515.0,217054.0,228725.0,188326.0,267808.0,205279.0,216612.0,244191.0,287124.0,207914.0,351443.0,290573.0
2018-05-01,877878.0,706935.0,214591.0,621633.0,1174496.0,731361.0,495632.0,379772.0,360893.0,339087.0,586869.0,1392276.0,355677.0,1430110.0,1303996.0,602335.0,444931.0,271798.0,289225.0,166969.0,645507.0,146863.0,549055.0,1064150.0,254866.0,514685.0,546892.0,463165.0,635153.0,180798.0,230768.0,344816.0,312468.0,201743.0,304617.0,127298.0,225397.0,263908.0,218138.0,229658.0,189389.0,268781.0,206907.0,217751.0,245137.0,288045.0,209479.0,351481.0,291581.0
2018-06-01,890007.0,710528.0,216339.0,624114.0,1179362.0,734774.0,497168.0,382022.0,362575.0,341366.0,586151.0,1401781.0,359011.0,1449569.0,1327919.0,602769.0,445375.0,275557.0,290105.0,167314.0,647279.0,146072.0,552578.0,1064598.0,256726.0,518759.0,550204.0,465157.0,633182.0,182128.0,232123.0,345328.0,312867.0,203546.0,305951.0,127212.0,227578.0,264693.0,219100.0,230404.0,190504.0,268935.0,208346.0,219016.0,246227.0,288721.0,210713.0,352549.0,292443.0
2018-07-01,898032.0,715989.0,217442.0,626312.0,1184579.0,738855.0,496591.0,384140.0,364491.0,342832.0,587194.0,1415125.0,362727.0,1464410.0,1346846.0,604077.0,449551.0,277982.0,290810.0,167952.0,650709.0,145465.0,555336.0,1064354.0,259664.0,523336.0,551655.0,467222.0,629037.0,183089.0,233171.0,344850.0,313809.0,205473.0,307100.0,127721.0,229337.0,265235.0,220104.0,231206.0,191454.0,269511.0,209601.0,219701.0,246872.0,288849.0,212119.0,354539.0,293057.0
2018-08-01,902834.0,720007.0,217774.0,628704.0,1186328.0,739600.0,495772.0,385919.0,366816.0,344939.0,589360.0,1423101.0,363527.0,1476088.0,1367034.0,607577.0,454704.0,279080.0,291170.0,168951.0,653965.0,146412.0,557051.0,1062832.0,262773.0,527499.0,552326.0,469655.0,626353.0,184005.0,234019.0,344614.0,315072.0,207387.0,307530.0,128396.0,230559.0,265243.0,220844.0,231932.0,192214.0,270422.0,210745.0,219971.0,247485.0,289209.0,213356.0,356921.0,293366.0
2018-09-01,905807.0,718940.0,218084.0,629633.0,1191478.0,739812.0,495526.0,386513.0,368246.0,345800.0,591832.0,1432954.0,364065.0,1491096.0,1359569.0,611166.0,457530.0,280843.0,292124.0,170266.0,656838.0,148002.0,559238.0,1066607.0,264772.0,531004.0,552957.0,470944.0,623667.0,184823.0,235338.0,344069.0,315677.0,209840.0,307686.0,129021.0,230926.0,265630.0,221591.0,232526.0,193188.0,271632.0,212175.0,220227.0,248750.0,289818.0,213817.0,359710.0,294445.0
2018-10-01,906483.0,718871.0,218605.0,629861.0,1196064.0,737820.0,495142.0,387237.0,368266.0,347807.0,592377.0,1431507.0,365048.0,1496537.0,1343449.0,612526.0,459596.0,281501.0,292995.0,171283.0,657641.0,149542.0,561742.0,1072208.0,266771.0,533935.0,555295.0,470759.0,623112.0,185041.0,236005.0,343041.0,315697.0,210751.0,308184.0,129720.0,231215.0,266421.0,222237.0,232764.0,194132.0,271957.0,212914.0,220429.0,249959.0,289490.0,214170.0,360676.0,295684.0
2018-11-01,904923.0,720044.0,220076.0,629990.0,1200885.0,738588.0,495811.0,386596.0,367568.0,348706.0,592663.0,1433274.0,367773.0,1490774.0,1323352.0,613109.0,461162.0,283347.0,294191.0,171818.0,659744.0,150535.0,565118.0,1074230.0,268191.0,535611.0,558448.0,471537.0,623325.0,185514.0,236849.0,342535.0,315760.0,211759.0,309145.0,130524.0,230821.0,267087.0,223057.0,233089.0,194873.0,272070.0,214027.0,221533.0,250890.0,289863.0,214510.0,362111.0,297828.0
2018-12-01,901981.0,720369.0,220328.0,630714.0,1200169.0,738773.0,497824.0,387741.0,367004.0,348798.0,592527.0,1428739.0,369663.0,1471775.0,1308878.0,612658.0,461766.0,285288.0,295730.0,171892.0,662540.0,151370.0,567031.0,1075441.0,269871.0,537404.0,561689.0,472159.0,624496.0,185783.0,237057.0,342892.0,315904.0,212104.0,310168.0,131313.0,231758.0,267406.0,223145.0,233670.0,195467.0,272418.0,215296.0,222423.0,250798.0,291098.0,215755.0,361856.0,299279.0
2019-01-01,894281.0,718617.0,221044.0,630478.0,1197642.0,738384.0,500357.0,387920.0,367663.0,348351.0,591937.0,1421497.0,368967.0,1446055.0,1289195.0,611600.0,459891.0,287527.0,298235.0,171785.0,665887.0,152217.0,568828.0,1071014.0,271004.0,539241.0,563245.0,473100.0,622787.0,187184.0,237998.0,344011.0,316812.0,213751.0,311205.0,131580.0,232433.0,267069.0,223859.0,234460.0,196157.0,273499.0,217268.0,223202.0,250620.0,293454.0,217244.0,363278.0,301055.0
2019-02-01,886278.0,718154.0,222107.0,630552.0,1197811.0,736424.0,505157.0,390550.0,367864.0,348684.0,589010.0,1420904.0,368671.0,1426787.0,1264706.0,610228.0,455750.0,290430.0,300717.0,172364.0,668121.0,153206.0,569788.0,1070238.0,272320.0,540900.0,564006.0,474577.0,622164.0,188282.0,239044.0,345688.0,316903.0,215581.0,312519.0,131800.0,233314.0,267489.0,225366.0,235529.0,197364.0,275720.0,218978.0,224292.0,251009.0,294906.0,218972.0,365254.0,303081.0
2019-03-01,881790.0,716388.0,223313.0,628238.0,1196132.0,734830.0,507268.0,391740.0,367486.0,349265.0,587415.0,1420869.0,367135.0,1419225.0,1243538.0,609872.0,451735.0,294506.0,303336.0,173478.0,669526.0,154363.0,571666.0,1063500.0,274035.0,542891.0,563828.0,475514.0,619061.0,189842.0,240034.0,346334.0,317260.0,217222.0,312549.0,132353.0,233632.0,267954.0,227443.0,236261.0,198295.0,277706.0,220622.0,225044.0,251702.0,294817.0,220027.0,367818.0,305797.0
2019-04-01,879542.0,715097.0,224121.0,626388.0,1196124.0,734036.0,507733.0,393723.0,367460.0,350172.0,587129.0,1418912.0,369542.0,1413297.0,1228248.0,610702.0,452733.0,299598.0,305023.0,175421.0,671315.0,155279.0,573411.0,1063030.0,276362.0,544771.0,561283.0,476586.0,619641.0,190460.0,240684.0,345654.0,318467.0,218703.0,311961.0,133334.0,234248.0,268595.0,229406.0,237690.0,198927.0,279112.0,221882.0,226236.0,252524.0,294407.0,220644.0,368529.0,307544.0
2019-05-01,879233.0,714230.0,224141.0,626075.0,1193682.0,733880.0,508166.0,394297.0,369383.0,350908.0,590558.0,1413112.0,370385.0,1414655.0,1223925.0,614382.0,456486.0,302908.0,306351.0,176710.0,672608.0,156173.0,575226.0,1054293.0,278729.0,545671.0,558867.0,477281.0,622221.0,191378.0,241301.0,344369.0,319726.0,219343.0,311227.0,134536.0,234509.0,268194.0,230190.0,238395.0,198987.0,279191.0,222788.0,227295.0,253172.0,293507.0,220887.0,368594.0,307059.0
2019-06-01,879423.0,715613.0,225021.0,628656.0,1192887.0,735551.0,511072.0,394329.0,372262.0,352713.0,592557.0,1416332.0,372199.0,1417891.0,1221534.0,614948.0,460171.0,305065.0,308141.0,178069.0,673919.0,156836.0,575663.0,1050159.0,280201.0,546186.0,557103.0,476584.0,625998.0,191986.0,241941.0,343663.0,320903.0,219590.0,311332.0,135694.0,235264.0,267958.0,230220.0,238941.0,199363.0,279233.0,223220.0,228145.0,254043.0,293696.0,221572.0,368597.0,306874.0
2019-07-01,881279.0,715652.0,226365.0,632170.0,1192762.0,736071.0,513174.0,394298.0,374658.0,354149.0,595478.0,1419037.0,373149.0,1417986.0,1215060.0,614148.0,460178.0,306469.0,308960.0,178777.0,673988.0,157554.0,575702.0,1042861.0,281245.0,545521.0,556817.0,475056.0,628296.0,192627.0,242707.0,343327.0,321473.0,219731.0,311492.0,136642.0,236213.0,267972.0,229980.0,238486.0,199874.0,278776.0,223779.0,228247.0,255100.0,294127.0,221795.0,369361.0,307061.0
2019-08-01,881311.0,714046.0,227332.0,631926.0,1187569.0,738701.0,513861.0,394994.0,375667.0,354791.0,598367.0,1422592.0,373565.0,1417021.0,1207269.0,612590.0,459909.0,308443.0,310533.0,179241.0,673750.0,157590.0,574703.0,1040349.0,281336.0,544651.0,556654.0,472481.0,628325.0,193174.0,243361.0,342813.0,322371.0,220120.0,311740.0,137260.0,238059.0,268710.0,229452.0,238390.0,200500.0,278870.0,224521.0,228276.0,255764.0,294519.0,222239.0,370705.0,308692.0
