,"Alameda County,CA","Contra Costa County,CA","Kern County,CA","Los Angeles County,CA","Marin County,CA","Orange County,CA","Placer County,CA","Riverside County,CA","Sacramento County,CA","San Bernardino County,CA","San Diego County,CA","San Francisco County,CA","San Joaquin County,CA","San Mateo County,CA","Santa Clara County,CA","Ventura County,CA","Yolo County,CA","Bronx County,NY","Dutchess County,NY","Erie County,NY","Kings County,NY","Monroe County,NY","Nassau County,NY","New York County,NY","Orange County,NY","Queens County,NY","Richmond County,NY","Rockland County,NY","Westchester County,NY","Bexar County,TX","Brazoria County,TX","Collin County,TX","Comal County,TX","Dallas County,TX","Denton County,TX","El Paso County,TX","Ellis County,TX","Fort Bend County,TX","Galveston County,TX","Guadalupe County,TX","Harris County,TX","Hays County,TX","Johnson County,TX","Kaufman County,TX","Montgomery County,TX","Rockwall County,TX","Tarrant County,TX","Travis County,TX","Williamson County,TX"
2018-01-01,-1.53,0.18,2.64,0.71,-2.17,-0.64,1.88,4.14,3.22,5.78,0.87,-2.49,4.45,-3.54,-3.67,2.84,0.98,8.84,-4.1,3.53,1.77,4.1,2.03,-2.34,4.7,1.62,-0.9,0.26,-1.63,5.19,3.92,-1.69,-0.03,8.13,1.86,9.97,5.08,1.68,3.96,5.45,8.29,-0.82,9.43,8.9,3.7,4.86,6.23,-1.39,-0.58
2018-02-01,-2.32,-0.55,2.07,0.03,-2.83,-1.23,1.33,3.55,2.57,5.12,0.13,-3.19,3.71,-4.33,-4.45,2.12,0.32,8.29,-4.63,2.89,1.09,3.55,1.36,-2.96,4.01,0.96,-1.58,-0.42,-2.13,4.7,3.29,-2.27,-0.72,7.32,1.28,9.47,4.42,1.06,3.48,4.87,7.7,-1.39,8.69,8.31,3.17,3.18,5.64,-2.01,-1.21
2018-03-01,-2.91,-1.12,1.64,-0.52,-3.29,-1.88,0.81,3.01,2.04,4.63,-0.44,-3.78,3.09,-4.89,-5.11,1.57,-0.2,7.95,-5.05,2.41,0.53,3.11,0.83,-3.54,3.47,0.41,-2.16,-0.92,-2.7,4.36,2.8,-2.76,-1.26,6.67,0.79,9.05,3.92,0.6,3.08,4.39,7.25,-1.83,8.08,7.84,2.82,2.67,5.15,-2.49,-1.64
2018-04-01,-2.89,-1.09,1.71,-0.52,-3.17,-1.73,0.77,3.07,2.11,4.68,-0.39,-3.83,3.16,-4.92,-5.17,1.64,-0.07,7.98,-4.99,2.44,0.57,3.09,0.83,-3.53,3.51,0.42,-2.19,-0.91,-2.87,4.39,2.79,-2.75,-1.2,6.53,0.87,9.13,3.92,0.71,3.25,4.46,7.3,-1.77,8.0,7.82,3.32,2.63,5.14,-2.41,-1.54
2018-05-01,-3.35,-1.45,1.34,-0.91,-3.54,-2.18,0.28,2.72,1.76,4.35,-0.69,-4.3,2.74,-5.37,-5.63,1.36,-0.36,7.45,-5.37,2.09,0.21,2.84,0.4,-3.96,3.23,-0.02,-2.59,-1.29,-3.19,4.07,2.36,-3.15,-1.54,6.1,0.52,8.89,3.47,0.38,2.91,4.18,6.9,-2.13,7.57,7.45,2.93,2.24,4.76,-2.72,-1.88
2018-06-01,-3.44,-1.47,1.32,-0.89,-3.52,-2.17,0.32,2.74,1.77,4.35,-0.61,-4.31,2.67,-5.43,-5.73,1.42,-0.26,7.23,-5.33,2.1,0.23,2.99,0.37,-3.93,3.2,-0.07,-2.61,-1.31,-3.11,4.05,2.27,-3.14,-1.51,5.97,0.51,8.95,3.4,0.38,2.92,4.26,6.82,-2.09,7.51,7.42,2.55,2.23,4.75,-2.7,-1.86
2018-07-01,-3.46,-1.49,1.37,-0.83,-3.48,-2.14,0.44,2.8,1.78,4.41,-0.52,-4.32,2.6,-5.45,-5.78,1.45,-0.25,7.11,-5.25,2.09,0.23,3.13,0.39,-3.86,3.14,-0.11,-2.55,-1.31,-2.74,4.11,2.22,-3.05,-1.5,5.85,0.55,8.9,3.42,0.41,2.97,4.37,6.79,-2.04,7.49,7.47,2.59,2.27,4.72,-2.71,-1.8
2018-08-01,-3.69,-1.73,1.26,-1.02,-3.66,-2.32,0.33,2.63,1.56,4.2,-0.68,-4.55,2.44,-5.68,-6.08,1.22,-0.49,6.85,-5.41,1.85,0.01,2.9,0.21,-4.02,-0.83,-0.63,-2.72,-1.56,-3.07,3.9,1.98,-3.2,-1.71,5.56,0.39,8.67,3.22,0.26,2.77,4.24,6.56,-2.25,7.26,7.32,2.42,2.1,4.49,-2.96,-1.97
2018-09-01,-3.56,-1.56,1.44,-0.83,-3.54,-2.17,0.54,2.81,1.7,4.39,-0.53,-4.44,2.61,-5.59,-5.89,1.31,-0.35,6.85,-5.27,1.85,0.12,2.86,0.35,-3.9,2.92,-0.55,-2.57,-1.45,-2.83,4.0,2.0,-3.02,-1.58,5.56,0.56,8.73,3.39,0.4,2.85,4.45,6.59,-2.15,7.31,7.5,2.53,2.22,4.71,-2.9,-1.85
2018-10-01,-3.95,-1.95,1.11,-1.17,-3.96,-2.51,0.21,2.46,1.36,3.98,-0.87,-4.83,2.23,-6.01,-6.19,0.92,-0.71,6.41,-5.64,1.42,-0.28,2.34,-0.06,-4.34,2.48,-0.73,-2.99,-1.82,-3.19,3.68,1.56,-3.34,-1.94,5.19,0.19,8.27,3.08,-0.0,2.46,4.16,6.14,-2.52,6.93,7.17,2.13,1.9,4.38,-3.3,-2.25
